Profil source;Profil compare;Rang;Score global;Similarite contenu;Similarite moyenne questions;Similarite lexicale;Similarite longueur;Similarite emotionnelle;Question la plus proche;Similarite question la plus proche;Sentiment source;Sentiment compare;Score sentiment source;Score sentiment compare;Reponse source - Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;Reponse compare - Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;Reponse source - Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;Reponse compare - Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;Reponse source - Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;Reponse compare - Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?
Benjamin;Vincent;9;74.62;74.23;66.05;97.54;95.41;50.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;68.09;4 stars;2 stars;0.472;0.317;Bénévolat le vrai sens de la vie;"""Sur un malentendu, ça peut passer""

On m'a trop souvent dit ça notamment pour les études.";Le 19eme siècle.   Pleins de changements : l industrie, Eiffel, le chemin de fer, …;Les années 20-30, parce que y'a pas à dire, ils étaient tous hyper stylés : costard, bretelles, moustache et béret-casquette;Savoir coder.   En tout cas comprendre le code informatique à fin de comprendre les évolutions actuelles;"Si on parle de compétences humaines : Dessiner
Si on parle de compétences surhumaines : voler 😋"
Benjamin;Florian;10;74.3;73.42;66.74;98.89;93.51;50.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;70.66;4 stars;2 stars;0.472;0.29;Bénévolat le vrai sens de la vie;Le titre serait « Be different » car je pense que dans la vie dans laquelle nous vivons actuellement il faut être différent et ne pas ressembler à tout le monde;Le 19eme siècle.   Pleins de changements : l industrie, Eiffel, le chemin de fer, …;Être né dans les années 50 pour vivre les meilleurs années de 70 à 90 pour vivre sans prise de tête sur tout point (sécurité, travail, fête);Savoir coder.   En tout cas comprendre le code informatique à fin de comprendre les évolutions actuelles;Avoir l’oreille absolue
Tiffany;Pauline;1;80.39;78.98;72.77;92.5;95.95;75.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;81.44;4 stars;5 stars;0.411;0.47;"""Il était une fois, moi""
Titre simple et explicite.";La vie est un long fleuve tranquille, parce que jusqu’à présent tout se passe pas trop mal;Vivre dans l'époque de la Grèce antique. J'aime la mythologie grecque, les histoires sur les Dieux grecques..;La Grèce Antique, car c’est une des plus anciennes civilisation, mais aussi une des plus développée concernant l’art, la culture, la démocratie, la philosophie, etc.;Parler toutes les langues du monde.;Être bilingue en anglais
Tiffany;Thibault;2;76.56;71.03;62.73;90.64;94.32;100.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;67.68;4 stars;4 stars;0.411;0.339;"""Il était une fois, moi""
Titre simple et explicite.";Le titre serait « Envers et contre tous » car j’ai des objectifs et un parcours de vie qui sont éloignés des autres personnes de mon entourage;Vivre dans l'époque de la Grèce antique. J'aime la mythologie grecque, les histoires sur les Dieux grecques..;Les années 1920, période Gatsby. Époque avec beaucoup plus d’élégance, de traditions, c’est l’époque de tout les possibles;Parler toutes les langues du monde.;Capacité à mémoriser les choses à l’infini
Tiffany;Nicolas;3;76.46;68.0;63.85;99.87;97.03;100.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;71.06;4 stars;4 stars;0.411;0.381;"""Il était une fois, moi""
Titre simple et explicite.";Un français à New York;Vivre dans l'époque de la Grèce antique. J'aime la mythologie grecque, les histoires sur les Dieux grecques..;À l'époque de l'empire Romain pour les découvertes et batailles épiques;Parler toutes les langues du monde.;Developer mes compétences en trading
Tiffany;Sullyvan;4;75.71;74.26;70.33;82.9;87.3;75.0;Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;79.63;4 stars;5 stars;0.411;0.593;"""Il était une fois, moi""
Titre simple et explicite.";Sully le Magnifique. De l’ego et un zeste d’humilité parce que c’était pas toujours classe. Mais ça mettrait en avant une vie pleine de pleins de choses.;Vivre dans l'époque de la Grèce antique. J'aime la mythologie grecque, les histoires sur les Dieux grecques..;"Époque de Louis 14 le roi soleil en étant le roi bien évidemment. Mais en vrai notre époque de maintenant je la trouve vraiment pas mal. 
La préhistoire me branche aussi parce que pas besoin de travailler, juste vivre.";Parler toutes les langues du monde.;Apprendre et maitriser un langage (langue, informatique, morse, toute sorte de langage)
Tiffany;Kevin;5;74.45;75.35;77.1;93.73;94.86;25.0;Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;92.47;4 stars;1 star;0.411;0.399;"""Il était une fois, moi""
Titre simple et explicite.";"""L'ennui comme échappatoire"" car la peur de manquer quelque chose m'a toujours donné envie de me dépasser";Vivre dans l'époque de la Grèce antique. J'aime la mythologie grecque, les histoires sur les Dieux grecques..;Je vivrais durant la durant la seconde guerre mondiale pour comprendre comment une seule personne a, à travers ses idées, a chamboulé le cours de l'histoire;Parler toutes les langues du monde.;Parler toutes les langues disponibles sur terre
Tiffany;Maxence;6;73.71;74.18;77.85;66.67;43.78;100.0;Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;96.45;4 stars;4 stars;0.411;0.493;"""Il était une fois, moi""
Titre simple et explicite.";Le documentaire s’intitulerait : « il était une fois », un titre simple et efficace, empruntant les codes de la littérature et qui invite par sa formulation à l’imagination et à de multiples histoires et une grande Histoire. Mon documentaire serait à la croisée d’un recueil de poèmes pour mon côté romantique et littéraire, et d’un roman d’aventure épique et fantastique, à la fois pour exprimer mon engouement pour les univers fantastiques et médiévaux, emprunts de magie, de dragons, de princes chevalier et d’imagination mais aussi pour le côté classique du roman avec des rencontres amicales incroyables, des milliers de péripéties, des centaines de dénouements, des fins plus ou moins heureuses. Mais surtout une vie bien remplies par des expériences hors du commun. L’univers musicale du documentaire serait parsemé de comédie musicale et de nocturne de De Bussy. S’il devait être chapitré, le premier chapitre serait : epicure n’a qu’à bien se tenir, je profites de la vie de chaque expériences, je suis passionné par tout et son contraire, j’aime le désordre dans l’ordre et la vie de manière générale. Le dernier chapitre du documentaire serait « to be continued » parcequil y a encore de belles histoires à vivre.;Vivre dans l'époque de la Grèce antique. J'aime la mythologie grecque, les histoires sur les Dieux grecques..;La renaissance ou le siècle des lumières. Deux époques avec des révolutions sociales, artistiques et culturelles. Et beaucoup plus d’hygiène qu’au moyen âge.;Parler toutes les langues du monde.;Être capable de parler toutes les langues et dialectes du monde.
Tiffany;Dad’;7;73.69;67.6;64.84;84.1;85.14;100.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;69.58;4 stars;4 stars;0.411;0.387;"""Il était une fois, moi""
Titre simple et explicite.";« La vie : un long fleuve tranquille ». C’est la première chose qui m’est venue à l’esprit. J’ai laissé passer quelques heures mais je suis revenue à ce titre. Alors, le mot « long » est déjà un indice 😉. Et le fleuve est toujours en mouvement, il avance constamment et traverse moults belles aventures, parfois calmes, parfois agitées. Mais « tranquille » donne la tonalité majeure 😃;Vivre dans l'époque de la Grèce antique. J'aime la mythologie grecque, les histoires sur les Dieux grecques..;Moyen-âge 😅😅😅. J’ai du y vivre dans une vie antérieure et j’en ai gardé quelques mots de vocabulaire 😅;Parler toutes les langues du monde.;Don d’ubiquité (peut-être….)
Tiffany;Lou;8;73.23;66.33;68.28;98.82;90.27;75.0;Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;81.27;4 stars;5 stars;0.411;0.414;"""Il était une fois, moi""
Titre simple et explicite.";Repousse tes limites. Car ma vie est basée de pleins d’étapes qui m’ont toutes apprises à repousser de plus en plus mes propres limites;Vivre dans l'époque de la Grèce antique. J'aime la mythologie grecque, les histoires sur les Dieux grecques..;Idéalement je ne changerai pas mais s’il faut choisir une époque ça serait la révolution française pour vivre ce grand changement en France (1789);Parler toutes les langues du monde.;Pouvoir parler de nombreuses langues pour ainsi voyager dans beaucoup de pays et avoir potentiellement un meilleur carrière professionnelle
Tiffany;Benjamin;9;71.97;62.42;59.39;89.38;99.46;100.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;64.72;4 stars;4 stars;0.411;0.472;"""Il était une fois, moi""
Titre simple et explicite.";Bénévolat le vrai sens de la vie;Vivre dans l'époque de la Grèce antique. J'aime la mythologie grecque, les histoires sur les Dieux grecques..;Le 19eme siècle.   Pleins de changements : l industrie, Eiffel, le chemin de fer, …;Parler toutes les langues du monde.;Savoir coder.   En tout cas comprendre le code informatique à fin de comprendre les évolutions actuelles
Tiffany;Tam;10;71.79;61.34;58.58;98.87;95.14;100.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;61.45;4 stars;4 stars;0.411;0.253;"""Il était une fois, moi""
Titre simple et explicite.";“Sans mode pause” = j’ai besoin de challenge au quotidien dans ma vie pro, perso ou via le sport. J’aime être entouré, échangé et me laisser inspiré par mon entourage. Bref je m’arrête jamais 🙃;Vivre dans l'époque de la Grèce antique. J'aime la mythologie grecque, les histoires sur les Dieux grecques..;Les années 80’ pour l’ambiance explosif, la créativité, la convivialité de cette époque;Parler toutes les langues du monde.;Être manuelle
Florian;Yohan;1;81.06;77.67;64.0;96.37;97.84;100.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;69.02;2 stars;2 stars;0.29;0.382;Le titre serait « Be different » car je pense que dans la vie dans laquelle nous vivons actuellement il faut être différent et ne pas ressembler à tout le monde;"Des hauts, des bas that is life. 
Ma vie n’est pas un long fleuve tranquille et, depuis tout petit, il y a eu de très bons moments, mais aussi d’autres un peu moins bons.";Être né dans les années 50 pour vivre les meilleurs années de 70 à 90 pour vivre sans prise de tête sur tout point (sécurité, travail, fête);Dans les années 1970 1980.  On pouvait faire plus de choses, il y avait moins de règles. Et que dire de la musique... .;Avoir l’oreille absolue;Trouver quelque chose qui révolutionne le monde (comme internet).
Florian;Vincent;2;80.02;73.52;67.9;98.65;98.11;100.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;68.94;2 stars;2 stars;0.29;0.317;Le titre serait « Be different » car je pense que dans la vie dans laquelle nous vivons actuellement il faut être différent et ne pas ressembler à tout le monde;"""Sur un malentendu, ça peut passer""

On m'a trop souvent dit ça notamment pour les études.";Être né dans les années 50 pour vivre les meilleurs années de 70 à 90 pour vivre sans prise de tête sur tout point (sécurité, travail, fête);Les années 20-30, parce que y'a pas à dire, ils étaient tous hyper stylés : costard, bretelles, moustache et béret-casquette;Avoir l’oreille absolue;"Si on parle de compétences humaines : Dessiner
Si on parle de compétences surhumaines : voler 😋"
Florian;Thibault;3;77.47;76.33;72.28;99.85;98.65;50.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;77.95;2 stars;4 stars;0.29;0.339;Le titre serait « Be different » car je pense que dans la vie dans laquelle nous vivons actuellement il faut être différent et ne pas ressembler à tout le monde;Le titre serait « Envers et contre tous » car j’ai des objectifs et un parcours de vie qui sont éloignés des autres personnes de mon entourage;Être né dans les années 50 pour vivre les meilleurs années de 70 à 90 pour vivre sans prise de tête sur tout point (sécurité, travail, fête);Les années 1920, période Gatsby. Époque avec beaucoup plus d’élégance, de traditions, c’est l’époque de tout les possibles;Avoir l’oreille absolue;Capacité à mémoriser les choses à l’infini
Florian;Kevin;4;76.86;72.05;69.26;96.76;98.11;75.0;Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;71.15;2 stars;1 star;0.29;0.399;Le titre serait « Be different » car je pense que dans la vie dans laquelle nous vivons actuellement il faut être différent et ne pas ressembler à tout le monde;"""L'ennui comme échappatoire"" car la peur de manquer quelque chose m'a toujours donné envie de me dépasser";Être né dans les années 50 pour vivre les meilleurs années de 70 à 90 pour vivre sans prise de tête sur tout point (sécurité, travail, fête);Je vivrais durant la durant la seconde guerre mondiale pour comprendre comment une seule personne a, à travers ses idées, a chamboulé le cours de l'histoire;Avoir l’oreille absolue;Parler toutes les langues disponibles sur terre
Florian;Benjamin;5;74.3;73.42;66.74;98.89;93.51;50.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;70.66;2 stars;4 stars;0.29;0.472;Le titre serait « Be different » car je pense que dans la vie dans laquelle nous vivons actuellement il faut être différent et ne pas ressembler à tout le monde;Bénévolat le vrai sens de la vie;Être né dans les années 50 pour vivre les meilleurs années de 70 à 90 pour vivre sans prise de tête sur tout point (sécurité, travail, fête);Le 19eme siècle.   Pleins de changements : l industrie, Eiffel, le chemin de fer, …;Avoir l’oreille absolue;Savoir coder.   En tout cas comprendre le code informatique à fin de comprendre les évolutions actuelles
Florian;Dad’;6;73.3;72.24;67.99;93.61;92.16;50.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;72.33;2 stars;4 stars;0.29;0.387;Le titre serait « Be different » car je pense que dans la vie dans laquelle nous vivons actuellement il faut être différent et ne pas ressembler à tout le monde;« La vie : un long fleuve tranquille ». C’est la première chose qui m’est venue à l’esprit. J’ai laissé passer quelques heures mais je suis revenue à ce titre. Alors, le mot « long » est déjà un indice 😉. Et le fleuve est toujours en mouvement, il avance constamment et traverse moults belles aventures, parfois calmes, parfois agitées. Mais « tranquille » donne la tonalité majeure 😃;Être né dans les années 50 pour vivre les meilleurs années de 70 à 90 pour vivre sans prise de tête sur tout point (sécurité, travail, fête);Moyen-âge 😅😅😅. J’ai du y vivre dans une vie antérieure et j’en ai gardé quelques mots de vocabulaire 😅;Avoir l’oreille absolue;Don d’ubiquité (peut-être….)
Florian;Sullyvan;7;72.88;75.28;70.31;92.41;94.32;25.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;74.09;2 stars;5 stars;0.29;0.593;Le titre serait « Be different » car je pense que dans la vie dans laquelle nous vivons actuellement il faut être différent et ne pas ressembler à tout le monde;Sully le Magnifique. De l’ego et un zeste d’humilité parce que c’était pas toujours classe. Mais ça mettrait en avant une vie pleine de pleins de choses.;Être né dans les années 50 pour vivre les meilleurs années de 70 à 90 pour vivre sans prise de tête sur tout point (sécurité, travail, fête);"Époque de Louis 14 le roi soleil en étant le roi bien évidemment. Mais en vrai notre époque de maintenant je la trouve vraiment pas mal. 
La préhistoire me branche aussi parce que pas besoin de travailler, juste vivre.";Avoir l’oreille absolue;Apprendre et maitriser un langage (langue, informatique, morse, toute sorte de langage)
Florian;Lua;8;72.59;78.88;64.77;82.5;69.46;50.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;74.03;2 stars;4 stars;0.29;0.364;Le titre serait « Be different » car je pense que dans la vie dans laquelle nous vivons actuellement il faut être différent et ne pas ressembler à tout le monde;Vivre avec 600 passions débordantes, la joie des hyperfocus et des nouveaux loisirs créatifs tous les mois;Être né dans les années 50 pour vivre les meilleurs années de 70 à 90 pour vivre sans prise de tête sur tout point (sécurité, travail, fête);D’un point de vue purement esthétique et basé sur le travail manuel féminin, je dirais l’époque victorienne ou edwardienne. J’aurais aimé vivre ces époques de découverte scientifique, architecture, de mode. Par contre je pense que je n’aurais pas supporté le manque de droits sociaux notamment de droits des femmes. Par rapport à ces droits j’aurais aimé vivre dans la deuxième moitié du 20 eme siècle avec le militantisme féministe, la reconstruction après la guerre, l’économie florissante.;Avoir l’oreille absolue;J’aimerais apprendre des nouvelles langues instantanément. Je trouve que le fait de parler plusieurs langues permet de découvrir le monde différemment de rencontrer des nouvelles personnes et que c’est un vrai atout professionnel. Et même si j’ai des facilités d’apprentissage, j’oublie souvent une langue pour en apprendre une autre. Donc j’aimerais pouvoir apprendre instantanément des nouvelles langues garder les ancienne et pouvoir communiquer avec le plus de monde.
Florian;David alias Davos;9;72.43;67.16;62.74;88.46;74.59;100.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;68.87;2 stars;2 stars;0.29;0.333;Le titre serait « Be different » car je pense que dans la vie dans laquelle nous vivons actuellement il faut être différent et ne pas ressembler à tout le monde;"Une volonté d’acier :
Je suis quelqu’un qui m’investit toujours à fond quand j’entreprends quelque chose c’est souvent sportif mais aussi dans ma vie de tous les jours. Sois je le fais bien sois je ne le fais pas je n’aime pas faire les choses à moitié.";Être né dans les années 50 pour vivre les meilleurs années de 70 à 90 pour vivre sans prise de tête sur tout point (sécurité, travail, fête);Une vingtaine d’années après la seconde guerre mondiale jusqu’au début des années 2000. Après la crise le pays commençait à se relever mais surtout à cette époque les liens sociaux étaient plus forts l’entreaide plus régulière. Plus de civilité, de valeurs et des échanges plus intéressants et constructifs. La technologie tue le lien social les humains sont de plus en plus cachés dérrière leurs écrans et on n’arrive de moins en moins a penser par soi meme avec les reseaux sociaux.;Avoir l’oreille absolue;L’intelligence pour créer des nouvelles choses, édifices ou technologies qui inspireront et aideront les nouvelles générations.
Florian;Damien;10;72.32;73.85;67.14;77.67;67.03;75.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;70.29;2 stars;1 star;0.29;0.46;Le titre serait « Be different » car je pense que dans la vie dans laquelle nous vivons actuellement il faut être différent et ne pas ressembler à tout le monde;"« On n'est pas rendu ! »

Car toujours à faire des projets inachevés, toujours dans des études interminables, toujours à parler beaucoup et aller dans les détails. Et en même temps, toujours à persévérer et en vouloir plus. Bref, on n'est pas rendu";Être né dans les années 50 pour vivre les meilleurs années de 70 à 90 pour vivre sans prise de tête sur tout point (sécurité, travail, fête);"Si c'est seulement pour le temps d'une expérience (pas pour toujours, quoi), je serais curieux de découvrir les années 1970-80 en URSS. Qu'est-ce que ça faisait d'être de l'autre côté du rideau de fer ? D'incarner le point de vue de l'autre ? D'être au crépuscule d'une vision du monde ?

Si c'est pour toujours, je crois que mon époque me convient le mieux (peut-être la vivre dans une autre région du monde). Globalement, j'ai plaisir à en apprendre toujours plus sur le monde d'aujourd'hui. J'aime vivre avec les connaissances que l'on a actuellement.";Avoir l’oreille absolue;"Devenir hyperpolyglotte !

Pouvoir lire, écrire, parler, comprendre un maximum de langues. Avoir accès à un grand nombre de cultures, comprendre comment chaque langue est un prisme différent sur notre monde."
Kevin;Damien;1;80.39;80.66;80.51;74.43;65.14;100.0;Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;83.44;1 star;1 star;0.399;0.46;"""L'ennui comme échappatoire"" car la peur de manquer quelque chose m'a toujours donné envie de me dépasser";"« On n'est pas rendu ! »

Car toujours à faire des projets inachevés, toujours dans des études interminables, toujours à parler beaucoup et aller dans les détails. Et en même temps, toujours à persévérer et en vouloir plus. Bref, on n'est pas rendu";Je vivrais durant la durant la seconde guerre mondiale pour comprendre comment une seule personne a, à travers ses idées, a chamboulé le cours de l'histoire;"Si c'est seulement pour le temps d'une expérience (pas pour toujours, quoi), je serais curieux de découvrir les années 1970-80 en URSS. Qu'est-ce que ça faisait d'être de l'autre côté du rideau de fer ? D'incarner le point de vue de l'autre ? D'être au crépuscule d'une vision du monde ?

Si c'est pour toujours, je crois que mon époque me convient le mieux (peut-être la vivre dans une autre région du monde). Globalement, j'ai plaisir à en apprendre toujours plus sur le monde d'aujourd'hui. J'aime vivre avec les connaissances que l'on a actuellement.";Parler toutes les langues disponibles sur terre;"Devenir hyperpolyglotte !

Pouvoir lire, écrire, parler, comprendre un maximum de langues. Avoir accès à un grand nombre de cultures, comprendre comment chaque langue est un prisme différent sur notre monde."
Kevin;Vincent;2;79.92;77.99;68.07;98.11;100.0;75.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;76.17;1 star;2 stars;0.399;0.317;"""L'ennui comme échappatoire"" car la peur de manquer quelque chose m'a toujours donné envie de me dépasser";"""Sur un malentendu, ça peut passer""

On m'a trop souvent dit ça notamment pour les études.";Je vivrais durant la durant la seconde guerre mondiale pour comprendre comment une seule personne a, à travers ses idées, a chamboulé le cours de l'histoire;Les années 20-30, parce que y'a pas à dire, ils étaient tous hyper stylés : costard, bretelles, moustache et béret-casquette;Parler toutes les langues disponibles sur terre;"Si on parle de compétences humaines : Dessiner
Si on parle de compétences surhumaines : voler 😋"
Kevin;Yohan;3;77.61;73.86;68.14;99.61;95.95;75.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;75.68;1 star;2 stars;0.399;0.382;"""L'ennui comme échappatoire"" car la peur de manquer quelque chose m'a toujours donné envie de me dépasser";"Des hauts, des bas that is life. 
Ma vie n’est pas un long fleuve tranquille et, depuis tout petit, il y a eu de très bons moments, mais aussi d’autres un peu moins bons.";Je vivrais durant la durant la seconde guerre mondiale pour comprendre comment une seule personne a, à travers ses idées, a chamboulé le cours de l'histoire;Dans les années 1970 1980.  On pouvait faire plus de choses, il y avait moins de règles. Et que dire de la musique... .;Parler toutes les langues disponibles sur terre;Trouver quelque chose qui révolutionne le monde (comme internet).
Kevin;Florian;4;76.86;72.05;69.26;96.76;98.11;75.0;Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;71.15;1 star;2 stars;0.399;0.29;"""L'ennui comme échappatoire"" car la peur de manquer quelque chose m'a toujours donné envie de me dépasser";Le titre serait « Be different » car je pense que dans la vie dans laquelle nous vivons actuellement il faut être différent et ne pas ressembler à tout le monde;Je vivrais durant la durant la seconde guerre mondiale pour comprendre comment une seule personne a, à travers ses idées, a chamboulé le cours de l'histoire;Être né dans les années 50 pour vivre les meilleurs années de 70 à 90 pour vivre sans prise de tête sur tout point (sécurité, travail, fête);Parler toutes les langues disponibles sur terre;Avoir l’oreille absolue
Kevin;Thibault;5;74.63;76.85;70.35;96.91;99.46;25.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;75.81;1 star;4 stars;0.399;0.339;"""L'ennui comme échappatoire"" car la peur de manquer quelque chose m'a toujours donné envie de me dépasser";Le titre serait « Envers et contre tous » car j’ai des objectifs et un parcours de vie qui sont éloignés des autres personnes de mon entourage;Je vivrais durant la durant la seconde guerre mondiale pour comprendre comment une seule personne a, à travers ses idées, a chamboulé le cours de l'histoire;Les années 1920, période Gatsby. Époque avec beaucoup plus d’élégance, de traditions, c’est l’époque de tout les possibles;Parler toutes les langues disponibles sur terre;Capacité à mémoriser les choses à l’infini
Kevin;Sullyvan;6;74.46;82.34;75.66;89.17;92.43;0.0;Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;85.08;1 star;5 stars;0.399;0.593;"""L'ennui comme échappatoire"" car la peur de manquer quelque chose m'a toujours donné envie de me dépasser";Sully le Magnifique. De l’ego et un zeste d’humilité parce que c’était pas toujours classe. Mais ça mettrait en avant une vie pleine de pleins de choses.;Je vivrais durant la durant la seconde guerre mondiale pour comprendre comment une seule personne a, à travers ses idées, a chamboulé le cours de l'histoire;"Époque de Louis 14 le roi soleil en étant le roi bien évidemment. Mais en vrai notre époque de maintenant je la trouve vraiment pas mal. 
La préhistoire me branche aussi parce que pas besoin de travailler, juste vivre.";Parler toutes les langues disponibles sur terre;Apprendre et maitriser un langage (langue, informatique, morse, toute sorte de langage)
Kevin;Tiffany;7;74.45;75.35;77.1;93.73;94.86;25.0;Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;92.47;1 star;4 stars;0.399;0.411;"""L'ennui comme échappatoire"" car la peur de manquer quelque chose m'a toujours donné envie de me dépasser";"""Il était une fois, moi""
Titre simple et explicite.";Je vivrais durant la durant la seconde guerre mondiale pour comprendre comment une seule personne a, à travers ses idées, a chamboulé le cours de l'histoire;Vivre dans l'époque de la Grèce antique. J'aime la mythologie grecque, les histoires sur les Dieux grecques..;Parler toutes les langues disponibles sur terre;Parler toutes les langues du monde.
Kevin;David alias Davos;8;72.69;71.99;67.01;85.22;72.7;75.0;Si vous pouviez vivre dans une époque différente, laquelle choisiriez-vous et pourquoi ?;71.53;1 star;2 stars;0.399;0.333;"""L'ennui comme échappatoire"" car la peur de manquer quelque chose m'a toujours donné envie de me dépasser";"Une volonté d’acier :
Je suis quelqu’un qui m’investit toujours à fond quand j’entreprends quelque chose c’est souvent sportif mais aussi dans ma vie de tous les jours. Sois je le fais bien sois je ne le fais pas je n’aime pas faire les choses à moitié.";Je vivrais durant la durant la seconde guerre mondiale pour comprendre comment une seule personne a, à travers ses idées, a chamboulé le cours de l'histoire;Une vingtaine d’années après la seconde guerre mondiale jusqu’au début des années 2000. Après la crise le pays commençait à se relever mais surtout à cette époque les liens sociaux étaient plus forts l’entreaide plus régulière. Plus de civilité, de valeurs et des échanges plus intéressants et constructifs. La technologie tue le lien social les humains sont de plus en plus cachés dérrière leurs écrans et on n’arrive de moins en moins a penser par soi meme avec les reseaux sociaux.;Parler toutes les langues disponibles sur terre;L’intelligence pour créer des nouvelles choses, édifices ou technologies qui inspireront et aideront les nouvelles générations.
Kevin;Lou;9;71.89;75.26;76.17;94.91;95.41;0.0;Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;81.96;1 star;5 stars;0.399;0.414;"""L'ennui comme échappatoire"" car la peur de manquer quelque chose m'a toujours donné envie de me dépasser";Repousse tes limites. Car ma vie est basée de pleins d’étapes qui m’ont toutes apprises à repousser de plus en plus mes propres limites;Je vivrais durant la durant la seconde guerre mondiale pour comprendre comment une seule personne a, à travers ses idées, a chamboulé le cours de l'histoire;Idéalement je ne changerai pas mais s’il faut choisir une époque ça serait la révolution française pour vivre ce grand changement en France (1789);Parler toutes les langues disponibles sur terre;Pouvoir parler de nombreuses langues pour ainsi voyager dans beaucoup de pays et avoir potentiellement un meilleur carrière professionnelle
Kevin;Benjamin;10;71.8;73.47;67.3;95.65;95.41;25.0;Si un documentaire devait être réalisé sur votre vie, quel en serait le titre et pourquoi ?;70.26;1 star;4 stars;0.399;0.472;"""L'ennui comme échappatoire"" car la peur de manquer quelque chose m'a toujours donné envie de me dépasser";Bénévolat le vrai sens de la vie;Je vivrais durant la durant la seconde guerre mondiale pour comprendre comment une seule personne a, à travers ses idées, a chamboulé le cours de l'histoire;Le 19eme siècle.   Pleins de changements : l industrie, Eiffel, le chemin de fer, …;Parler toutes les langues disponibles sur terre;Savoir coder.   En tout cas comprendre le code informatique à fin de comprendre les évolutions actuelles
Lou;Sullyvan;1;82.91;79.46;75.36;84.07;97.03;100.0;Imaginez que vous puissiez développer une nouvelle compétence instantanément. Laquelle ce serait ?;77.7;5 stars;5 stars;0.414;0.593;Repousse tes limites. Car ma vie est basée de pleins d’étapes qui m’ont toutes apprises à repousser de plus en plus mes propres limites;Sully le Magnifique. De l’ego et un zeste d’humilité parce que c’était pas toujours classe. Mais ça mettrait en avant une vie pleine de pleins de choses.;Idéalement je ne changerai pas mais s’il faut choisir une époque ça serait la révolution française pour vivre ce grand changement en France (1789);"Époque de Louis 14 le roi soleil en étant le roi bien évidemment. Mais en vrai notre époque de maintenant je la trouve vraiment pas mal. 
La préhistoire me branche aussi parce que pas besoin de travailler, juste vivre.";Pouvoir parler de nombreuses langues pour ainsi voyager dans beaucoup de pays et avoir potentiellement un meilleur carrière professionnelle;Apprendre et maitriser un langage (langue, informatique, morse, toute sorte de langage)
